Arrival,Depart
0:00:00,1:15:00
0:00:00,0:40:00
0:00:00,0:43:00
0:00:00,1:06:00
0:00:00,1:13:00
0:00:00,2:51:00
0:00:00,3:21:00
0:00:00,1:38:00
0:00:00,2:40:00
0:00:00,3:22:00
0:00:00,2:57:00
0:00:00,1:23:00
0:00:00,3:00:00
0:00:00,3:13:00
*Does not capture a continuous stream of customers,
