		Arrival	Departure		Comment
Timeframe: 5:47 - 6:07 on 3/8/20		5:49:01 PM	5:49:33 PM		Arrival time is assumed to be when the customer's car comes to a stop by at the food pickup window.
		5:54:30 PM	5:56:44 PM		Departure time is assumed to be when the customer's car fulls away from the food pickup window and leaves the drivethrough line.
		5:55:37 PM	5:58:27 PM		
		5:57:35 PM	5:58:43 PM		
		6:00:04 PM	6:01:00 PM		
		6:02:09 PM	6:02:33 PM		
